# Chemical potentials Zr: t-ZrO2 - O2 // O: O2/2 // H: Cyclohexene - 1,4-Cyclohexadiene
Zr -17.3815716
O -4.94501995
H -3.9156360
#H -3.6274973 # Cyclohexene - benzene
